"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2025","43.33","43.62","43.77","43.26","86.35K","-0.73%"
"06/16/2025","43.65","44.41","44.64","43.64","65.41K","-3.04%"
"06/13/2025","45.02","45.17","45.38","44.88","39.28K","-3.16%"
"06/12/2025","46.49","46.60","46.62","46.32","57.64K","1.07%"
"06/11/2025","46.00","46.09","46.16","45.89","39.50K","0.55%"
"06/10/2025","45.75","45.57","45.91","45.52","34.80K","0.79%"
"06/09/2025","45.39","45.43","46.03","45.33","37.48K","0.58%"
"06/06/2025","45.13","44.94","45.75","44.92","76.84K","-0.46%"
"06/05/2025","45.34","45.92","45.92","45.23","75.65K","-2.10%"
"06/04/2025","46.31","46.17","46.55","46.10","150.73K","4.02%"
"06/03/2025","44.52","44.18","45.07","44.04","154.03K","-0.93%"
"06/02/2025","44.94","44.47","44.95","44.37","170.05K","0.69%"
"05/30/2025","44.63","44.48","44.67","44.34","240.95K","0.93%"
"05/29/2025","44.22","44.33","44.33","43.92","123.17K","1.49%"
"05/28/2025","43.57","43.52","43.79","43.43","56.86K","-0.32%"
"05/27/2025","43.71","44.70","44.70","43.53","76.79K","0.60%"
"05/23/2025","43.45","43.03","43.51","42.95","36.29K","-1.61%"
"05/22/2025","44.16","44.06","44.40","43.88","44.29K","-0.65%"
"05/21/2025","44.45","44.49","44.68","44.38","31.53K","0.14%"
"05/20/2025","44.39","44.03","44.41","44.03","59.74K","2.35%"
"05/19/2025","43.37","44.38","44.78","43.07","99.63K","-1.77%"
"05/16/2025","44.15","44.14","44.15","43.76","51.90K","0.16%"
"05/15/2025","44.08","43.54","44.08","43.54","43.52K","1.26%"
"05/14/2025","43.53","44.27","44.27","43.41","50.56K","-0.39%"
"05/13/2025","43.70","44.00","44.12","43.40","73.89K","-0.52%"
"05/12/2025","43.93","43.85","45.02","43.65","112.55K","-1.81%"
"05/09/2025","44.74","44.52","44.88","44.52","127.54K","1.34%"
"05/08/2025","44.15","45.03","45.03","44.11","153.73K","-0.83%"
"05/07/2025","44.52","44.99","44.99","44.43","67.21K","-1.29%"
"05/06/2025","45.10","45.05","45.14","44.84","56.25K","0.76%"
"05/05/2025","44.76","45.12","45.12","44.61","97.94K","-0.15%"
"05/02/2025","44.83","45.40","45.40","44.74","36.22K","0.20%"
"05/01/2025","44.74","45.67","45.67","44.46","50.28K","0.04%"
"04/30/2025","44.72","45.40","45.40","44.31","54.86K","1.29%"
"04/29/2025","44.15","44.18","44.33","43.83","82.72K","-0.34%"
"04/28/2025","44.30","44.10","44.31","43.91","107.63K","1.26%"
